permit_renewal_date,approval_date,total_area,application_type_arabic,parcel_id,application_id,building_count,load_timestamp,permit_no,application_type_english,application_status_arabic,project_no,application_submission_date,permit_date,application_status_english,building_type
"null","2019-08-27","0","تقديم نهائي \ تعديلات أو أضافات","6150543","1316919","0","2026-01-26 19:00:00","313622-20-1","Final-Adjustment/Addition","الرخصة مسلمة","313622","2019-08-25","2019-08-27","Permit Delivered","Private Villa"
"null","2020-09-13","0","إستثناءات","3934260","1379224","0","2026-01-26 19:00:00","310017-56-1","Request for Exceptions","معتمدة","310017","2020-08-14","null","Approved","Floor Area Ratio"
"null","null","0","الحصول على المنسوب المرجعي لمدخل المبنى","7115891","1137621","0","2026-01-26 19:00:00","320168-1-1","Obtain the Gate Level of a Building Entrance","معادة","320168","2017-11-13","null","RETURNED","null"
"null","2024-09-20","0","الحصول على المنسوب المرجعي لمدخل المبنى","71112293","1717717","0","2026-01-26 19:00:00","435313-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","435313","2024-09-18","null","Approved","null"
"null","1993-06-10","0","تقديم نهائي \ مبنى جديد","1160110","28620","0","2026-01-26 19:00:00","26740-1-1","Final-New Building","الرخصة مسلمة","26740","1993-06-06","1993-06-26","Permit Delivered","null"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","6131336","524238","0","2026-01-26 19:00:00","210445-2-1","Final-Adjustment/Addition","معاملة معادة ملغاة","210445","2012-02-07","null","Returned Application Cancelled","Industrial Building"
"null","null","172","تقديم نهائي \ مبنى جديد","3122357","764664","0","2026-01-26 19:00:00","253482-2-1","Final-New Building","معاملة معادة ملغاة","253482","2015-01-06","null","Returned Application Cancelled","Public Building"
"null","2018-08-30","0","ترخيص اعمال ديكور عادى","1130453","1228452","0","2026-01-26 19:00:00","333709-1-1","Normal Decor Permit","الرخصة مسلمة","333709","2018-08-12","2018-09-02","Permit Delivered","Multi Storey"
"null","null","0","ترخيص اعمال ديكور عادى","3261072","1097664","0","2026-01-26 19:00:00","311901-1-3","Normal Decor Permit","معادة","311901","2017-07-31","null","RETURNED","Floor Area Ratio"
"null","2015-11-05","0","تقديم نهائي \ تعديلات أو أضافات","6766452","857806","1","2026-01-26 19:00:00","239558-3-1","Final-Adjustment/Addition","الرخصة مسلمة","239558","2015-11-02","2015-11-09","Permit Delivered","Investment Villa"
"null","2009-11-12","0","رخصة هدم مبنى","3120814","356784","0","2026-01-26 19:00:00","180479-1-1","Building Demolition Permit","الرخصة مسلمة","180479","2009-11-12","2009-11-12","Permit Delivered","Multi Storey"
"null","2023-01-06","0","الترخيص الذاتي للديكور","3347114","1551393","0","2026-01-26 19:00:00","395081-1-1","Decor Self Permitting","الرخصة ملغاة","395081","2023-01-06","2023-01-06","Permit Cancelled","Multi Storey"
"null","2007-11-21","274","تقديم نهائي \ مبنى جديد","6820774","210877","1","2026-01-26 19:00:00","145971-1-3","Final-New Building","الرخصة مسلمة","145971","2007-11-19","2007-11-25","Permit Delivered","Private Villa"
"null","2016-07-24","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6713517","951698","0","2026-01-26 19:00:00","192041-14-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","192041","2016-07-17","2016-07-25","Permit Delivered","Private Villa"
"null","2007-10-22","0","الحصول على المنسوب المرجعي لمدخل المبنى","3760136","206799","0","2026-01-26 19:00:00","145835-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","145835","2007-10-22","null","Approved","null"
"null","2003-02-03","0","تقديم نهائي \ تعديلات أو أضافات","3210105","88565","0","2026-01-26 19:00:00","86685-1-1","Final-Adjustment/Addition","الرخصة مسلمة","86685","2003-02-02","2003-02-03","Permit Delivered","null"
"null","2023-01-31","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3750875","1556817","0","2026-01-26 19:00:00","368181-12-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","368181","2023-01-30","2023-01-31","Permit Delivered","Private Villa"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","4165634","761927","0","2026-01-26 19:00:00","215217-13-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","215217","2014-12-25","null","RETURNED","Industrial Building"
"null","null","825","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3680318","1554230","0","2026-01-26 19:00:00","392592-2-1","Adjustment and Addition Permit Simple (Owners)","معاملة معادة ملغاة","392592","2023-01-19","null","Returned Application Cancelled","Public Building"
"null","null","0","ترخيص اعمال ديكور عادى","5981102","293247","1","2026-01-26 19:00:00","165407-1-3","Normal Decor Permit","معاملة معادة ملغاة","165407","2009-01-28","null","Returned Application Cancelled","Industrial Building"
"null","2017-03-23","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3690238","1048055","0","2026-01-26 19:00:00","298829-3-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","298829","2017-03-22","2017-03-30","Permit Delivered","Industrial Building"
"null","null","298","تقديم نهائي \ مبنى جديد","3945164","650748","0","2026-01-26 19:00:00","238959-1-1","Final-New Building","معادة","238959","2014-01-06","null","RETURNED","Private Villa"
"null","1997-11-29","0","تقديم نهائي \ مبنى جديد","3690771","17814","1","2026-01-26 19:00:00","15934-1-1","Final-New Building","الرخصة مسلمة","15934","1997-09-21","1997-12-07","Permit Delivered","Public Building"
"null","null","1573","تقديم أولي \ تعديلات أو أضافات","4124768","1345979","0","2026-01-26 19:00:00","352257-1-1","Preliminary-Adjustment/Addition","معادة","352257","2020-01-26","null","RETURNED","Public Building"
"null","2009-07-02","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2810631","327957","0","2026-01-26 19:00:00","152636-3-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","152636","2009-06-29","2009-07-05","Permit Delivered","Private Villa"
"null","null","528","تقديم نهائي \ مبنى جديد","6261060","1742373","0","2026-01-26 19:00:00","439779-2-1","Final-New Building","معادة","439779","2024-11-25","null","RETURNED","Private Villa"
"null","2009-02-08","0","الحصول على المنسوب المرجعي لمدخل المبنى","3551082","293112","0","2026-01-26 19:00:00","162173-2-2","Obtain the Gate Level of a Building Entrance","معتمدة","162173","2009-02-08","null","Approved","null"
"null","2016-09-05","0","طلب تصريح اشغال مؤقت للأراضي","3731113","970422","0","2026-01-26 19:00:00","260851-8-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","260851","2016-09-04","2016-09-05","Permit Delivered","null"
"null","2022-05-27","0","تقديم نهائي \ تعديلات أو أضافات","7366210","1499182","0","2026-01-26 19:00:00","331036-14-1","Final-Adjustment/Addition","الرخصة مسلمة","331036","2022-05-25","2022-05-27","Permit Delivered","Private Villa"
"null","2023-09-08","0","الحصول على المنسوب المرجعي لمدخل المبنى","2714043","1613604","0","2026-01-26 19:00:00","410720-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","410720","2023-09-07","null","Approved","null"
"null","null","2","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3760868","1353562","0","2026-01-26 19:00:00","351766-1-4","Adjustment and Addition Permit Simple (Owners)","معادة","351766","2020-03-03","null","RETURNED","Private Villa"
"null","null","0","إستثناءات","3331102","718196","0","2026-01-26 19:00:00","239211-2-1","Request for Exceptions","معادة","239211","2014-07-08","null","RETURNED","Multi Storey"
"null","2007-10-26","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2514409","208457","0","2026-01-26 19:00:00","668-5-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","668","2007-10-25","2007-10-29","Permit Delivered","Investment Villa"
"null","2020-04-01","0","إلغاء  معاملة ترخيص","3430381","1357635","0","2026-01-26 19:00:00","260507-12-1","Permit Application Cancellation","معتمدة","260507","2020-04-01","null","Approved","null"
"null","2009-02-11","699","تقديم نهائي \ مبنى جديد","3370610","294174","1","2026-01-26 19:00:00","163169-3-1","Final-New Building","الرخصة مسلمة","163169","2009-02-03","2009-03-10","Permit Delivered","Private Villa"
"null","2014-08-27","0","تصريح حجز الارصفه واستغلالها","3360210","730041","0","2026-01-26 19:00:00","238683-4-2","Walkside Booking Permit","الرخصة مسلمة","238683","2014-08-27","2014-09-02","Permit Delivered","null"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","2661220","1506513","0","2026-01-26 19:00:00","382799-2-1","Final-Adjustment/Addition","معاملة معادة ملغاة","382799","2022-06-21","null","Returned Application Cancelled","Private Villa"
"null","2010-05-13","0","إلغاء  معاملة ترخيص","6005365","398634","0","2026-01-26 19:00:00","133915-11-1","Permit Application Cancellation","معتمدة","133915","2010-05-12","null","Approved","null"
"null","2010-03-14","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3940301","380940","0","2026-01-26 19:00:00","158542-8-2","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","158542","2010-03-02","2010-03-15","Permit Delivered","Private Villa"
"null","2010-10-14","203770","تقديم نهائي \ مبنى جديد","3881477","418743","0","2026-01-26 19:00:00","142341-10-7","Final-New Building","الرخصة مسلمة","142341","2010-08-15","2010-11-01","Permit Delivered","Floor Area Ratio"
"null","2015-08-19","0","طلب مخططات البناء","3561148","833957","0","2026-01-26 19:00:00","269763-1-1","Apply for Buildings Drawings","معتمدة","269763","2015-08-18","null","Approved","null"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3430273","719708","0","2026-01-26 19:00:00","248518-1-1","Adjustment and Addition Permit Simple (Owners)","معادة","248518","2014-07-14","null","RETURNED","Private Villa"
"null","null","826","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6740233","960506","0","2026-01-26 19:00:00","290736-1-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","290736","2016-08-09","null","RETURNED","Floor Area Ratio"
"null","2009-12-22","0","تغيير استشاري قبل صدور ترخيص البناء","4230949","349786","0","2026-01-26 19:00:00","153217-5-1","Changing a Consultant Before building permit Issuance","معاملة معتمدة ملغاة","153217","2009-10-12","null","Approved Application Cancelled","null"
"null","2008-05-05","0","ترخيص اعمال ديكور عادى","3120462","239112","1","2026-01-26 19:00:00","153549-1-1","Normal Decor Permit","الرخصة مسلمة","153549","2008-05-01","2008-05-06","Permit Delivered","Multi Storey"
"null","2018-08-14","0","إلغاء  معاملة ترخيص","3621046","1229355","0","2026-01-26 19:00:00","247909-20-1","Permit Application Cancellation","معتمدة","247909","2018-08-14","null","Approved","null"
"null","2019-04-28","0","طلب مخططات البناء","3640189","1293792","0","2026-01-26 19:00:00","343169-1-1","Apply for Buildings Drawings","معتمدة","343169","2019-04-28","null","Approved","null"
"null","2006-12-05","0","إستثناءات","1190366","159143","0","2026-01-26 19:00:00","132986-1-1","Request for Exceptions","معتمدة","132986","2006-11-22","null","Approved","Public Building"
"null","2016-05-12","375","تقديم نهائي \ مبنى جديد","3942211","927109","1","2026-01-26 19:00:00","278374-1-4","Final-New Building","الرخصة مسلمة","278374","2016-05-08","2017-06-29","Permit Delivered","Private Villa"
"null","null","594","تقديم أولي \ مبنى جديد","9130689","1598259","0","2026-01-26 19:00:00","407491-1-1","Preliminary-New Building","لا مانع من التقديم النهائي","407491","2023-07-27","null","No objection for final submission","Private Villa"
"null","2009-08-06","461","تقديم نهائي \ تعديلات أو أضافات","5991007","329421","0","2026-01-26 19:00:00","174821-1-1","Final-Adjustment/Addition","الرخصة مسلمة","174821","2009-07-05","2009-09-01","Permit Delivered","Industrial Building"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3120591","219761","0","2026-01-26 19:00:00","148827-2-1","Adjustment and Addition Permit Simple (Owners)","معادة","148827","2008-01-09","null","RETURNED","null"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3450580","409970","0","2026-01-26 19:00:00","189238-1-2","Final-Adjustment/Addition","معاملة معادة ملغاة","189238","2010-10-07","null","Returned Application Cancelled","Floor Area Ratio"
"null","2022-08-15","0","طلب مخططات البناء","4161254","1518666","0","2026-01-26 19:00:00","387621-1-1","Apply for Buildings Drawings","معتمدة","387621","2022-08-15","null","Approved","null"
"null","2014-01-07","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6720678","672289","0","2026-01-26 19:00:00","229350-4-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","229350","2013-12-31","2014-01-14","Permit Delivered","Private Villa"
"null","2017-06-14","129","تقديم نهائي \ تعديلات أو أضافات","3550693","1076825","0","2026-01-26 19:00:00","303165-2-2","Final-Adjustment/Addition","الرخصة ملغاة","303165","2017-06-04","2017-12-18","Permit Cancelled","Private Villa"
"null","2025-07-31","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3920549","1820966","0","2026-01-26 19:00:00","267503-145-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","267503","2025-07-25","2025-07-31","Permit Delivered","Floor Area Ratio"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","5999194","1837869","0","2026-01-26 19:00:00","412155-10-1","Final-Adjustment/Addition","معادة","412155","2025-09-16","null","RETURNED","Industrial Building"
"null","2023-06-05","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3940954","1585325","0","2026-01-26 19:00:00","382447-4-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","382447","2023-05-24","2024-08-28","Permit Delivered","Private Villa"
"null","null","0","الحصول على المنسوب المرجعي لمدخل المبنى","3350201","146355","0","2026-01-26 19:00:00","129047-1-1","Obtain the Gate Level of a Building Entrance","معاملة معادة ملغاة","129047","2006-08-16","null","Returned Application Cancelled","null"
"null","2021-10-28","0","إستثناءات","3920267","1454180","0","2026-01-26 19:00:00","372880-2-1","Request for Exceptions","معتمدة","372880","2021-09-18","null","Approved","Multi Storey"
"null","2017-04-11","-101","تقديم نهائي \ تعديلات أو أضافات","6720358","1052626","0","2026-01-26 19:00:00","208397-2-1","Final-Adjustment/Addition","الرخصة مسلمة","208397","2017-04-05","2018-01-31","Permit Delivered","Private Villa"
"null","null","34","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","1230683","787463","0","2026-01-26 19:00:00","262090-1-1","Adjustment and Addition Permit Simple (Owners)","معادة","262090","2015-04-03","null","RETURNED","Private Villa"
"null","2023-02-23","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3180565","1561108","0","2026-01-26 19:00:00","396526-2-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","396526","2023-02-16","2023-03-29","Permit Delivered","Multi Storey"
"null","2014-12-15","39","تقديم نهائي \ تعديلات أو أضافات","5310501","746517","0","2026-01-26 19:00:00","241814-6-3","Final-Adjustment/Addition","الرخصة مسلمة","241814","2014-10-29","2014-12-17","Permit Delivered","Industrial Building"
"null","null","0","ترخيص اعمال ديكور عادى","8121451","1020687","0","2026-01-26 19:00:00","295459-1-3","Normal Decor Permit","معادة","295459","2017-01-17","null","RETURNED","Public Building"
"null","2001-01-30","0","تقديم نهائي \ تعديلات أو أضافات","1321274","66098","0","2026-01-26 19:00:00","64218-1-1","Final-Adjustment/Addition","الرخصة مسلمة","64218","2001-01-29","2001-01-31","Permit Delivered","null"
"null","2014-02-23","0","طلب مخططات البناء","1140150","684199","0","2026-01-26 19:00:00","241391-1-1","Apply for Buildings Drawings","معتمدة","241391","2014-02-23","null","Approved","null"
"null","2019-09-05","0","إلغاء  معاملة ترخيص","1260931","1318943","0","2026-01-26 19:00:00","271376-22-1","Permit Application Cancellation","معتمدة","271376","2019-09-05","null","Approved","null"
"null","null","0","إستثناءات","1270477","1428061","0","2026-01-26 19:00:00","363023-4-1","Request for Exceptions","معادة","363023","2021-04-26","null","RETURNED","Multi Storey"
"null","2006-10-13","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3920253","153275","0","2026-01-26 19:00:00","1731-3-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","1731","2006-10-10","2006-10-19","Permit Delivered","Floor Area Ratio"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3160283","909871","0","2026-01-26 19:00:00","279585-3-1","Final-Adjustment/Addition","معادة","279585","2016-03-24","null","RETURNED","Multi Storey"
"null","2017-04-17","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3942198","1056299","0","2026-01-26 19:00:00","299269-1-3","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","299269","2017-04-12","2017-05-11","Permit Delivered","Private Villa"
"null","1999-12-29","0","تقديم نهائي \ تعديلات أو أضافات","3570254","37340","0","2026-01-26 19:00:00","35460-1-1","Final-Adjustment/Addition","الرخصة مسلمة","35460","1999-12-19","2000-01-19","Permit Delivered","null"
"null","2022-06-13","0","ترخيص أعمال تعديلات وإضافات بسيطة (ملاك)","3925336","1500913","0","2026-01-26 19:00:00","383462-1-1","Adjustment and Addition Permit Simple (Owners)","الرخصة مسلمة","383462","2022-05-26","2022-06-14","Permit Delivered","Floor Area Ratio"
"null","2022-06-14","0","إلغاء رخصة (قبل بدء العمل)","3680197","1504681","0","2026-01-26 19:00:00","362704-2-1","Permit Cancellation (before start of work)","معتمدة","362704","2022-06-13","null","Approved","null"
"null","2021-08-25","0","طلب مخططات البناء","6641703","1449707","0","2026-01-26 19:00:00","372178-1-1","Apply for Buildings Drawings","معتمدة","372178","2021-08-25","null","Approved","null"
"null","null","4947","تقديم نهائي \ مبنى جديد","2511105","289758","0","2026-01-26 19:00:00","156975-2-2","Final-New Building","معادة","156975","2009-01-15","null","RETURNED","Private Villa"
"null","2024-01-30","0","طلب تصريح اشغال مؤقت للأراضي","7114576","1654237","0","2026-01-26 19:00:00","416391-2-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","416391","2024-01-30","2024-01-30","Permit Delivered","null"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","1230319","468851","0","2026-01-26 19:00:00","176549-4-1","Final-Adjustment/Addition","معادة","176549","2011-04-06","null","RETURNED","Multi Storey"
"null","2012-11-11","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","5970682","578926","0","2026-01-26 19:00:00","192291-10-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","192291","2012-11-05","2012-11-14","Permit Delivered","Multi Storey"
"null","2024-12-27","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","2823446","1753298","0","2026-01-26 19:00:00","403336-4-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","403336","2024-12-26","2025-01-07","Permit Delivered","Private Villa"
"null","null","1072","تقديم أولي \ تعديلات أو أضافات","6120392","653266","0","2026-01-26 19:00:00","206320-3-2","Preliminary-Adjustment/Addition","معادة","206320","2013-10-05","null","RETURNED","Industrial Building"
"null","2017-11-14","422","تقديم نهائي \ مبنى جديد","7117030","1131090","1","2026-01-26 19:00:00","317879-2-1","Final-New Building","الرخصة مسلمة","317879","2017-11-05","2018-01-21","Permit Delivered","Private Villa"
"null","null","0","تقديم نهائي \ مبنى جديد","1180279","26199","0","2026-01-26 19:00:00","24319-1-1","Final-New Building","الرخصة مسلمة","24319","1993-09-07","null","Permit Delivered","Multi Storey"
"null","2008-07-22","0","رخصة هدم مبنى","2820110","255992","0","2026-01-26 19:00:00","157883-1-1","Building Demolition Permit","الرخصة مسلمة","157883","2008-07-22","2008-07-22","Permit Delivered","Private Villa"
"null","2025-11-05","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3530226","1856349","0","2026-01-26 19:00:00","453811-2-2","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","453811","2025-11-04","2025-11-05","Permit Delivered","Private Villa"
"null","2024-02-01","0","طلب مخططات البناء","3450829","1654994","0","2026-01-26 19:00:00","420293-1-3","Apply for Buildings Drawings","معتمدة","420293","2024-02-01","null","Approved","Floor Area Ratio"
"null","2018-07-30","0","ترخيص اعمال ديكور عادى","3450897","1224111","0","2026-01-26 19:00:00","333194-1-1","Normal Decor Permit","الرخصة مسلمة","333194","2018-07-28","2018-07-30","Permit Delivered","Multi Storey"
"null","null","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","2310406","1778788","0","2026-01-26 19:00:00","381260-13-1","Final Arrangement and Digging","معادة","381260","2025-03-18","null","RETURNED","Floor Area Ratio"
"null","2023-02-23","0","إستثناءات","3180133","1554372","0","2026-01-26 19:00:00","372408-23-1","Request for Exceptions","معتمدة","372408","2023-01-19","null","Approved","Multi Storey"
"null","1995-06-17","0","تقديم نهائي \ مبنى جديد","3660124","41478","1","2026-01-26 19:00:00","39598-1-1","Final-New Building","الرخصة مسلمة","39598","1995-05-15","1995-07-17","Permit Delivered","Multi Storey"
"null","null","0","تقديم نهائي \ تعديلات أو أضافات","3430873","93119","0","2026-01-26 19:00:00","91239-1-1","Final-Adjustment/Addition","الرخصة مسلمة","91239","2003-07-09","2003-07-14","Permit Delivered","null"
"null","2002-08-07","0","تقديم نهائي \ تعديلات أو أضافات","3630403","98671","0","2026-01-26 19:00:00","96791-1-1","Final-Adjustment/Addition","الرخصة مسلمة","96791","2002-08-05","2002-08-10","Permit Delivered","Private Villa"
"null","2019-12-26","0","طلب مخططات البناء","3650150","1340882","0","2026-01-26 19:00:00","351344-1-1","Apply for Buildings Drawings","معتمدة","351344","2019-12-26","null","Approved","null"
"null","2014-10-20","88","تقديم نهائي \ تعديلات أو أضافات","3430257","739086","1","2026-01-26 19:00:00","252138-1-1","Final-Adjustment/Addition","الرخصة مسلمة","252138","2014-09-30","2015-02-19","Permit Delivered","Private Villa"
"null","2024-08-15","0","تقديم نهائي \ تعديلات أو أضافات","9312195","1706919","0","2026-01-26 19:00:00","416632-5-1","Final-Adjustment/Addition","الرخصة مسلمة","416632","2024-08-14","2024-08-20","Permit Delivered","Private Villa"
"null","2017-12-20","0","الحصول على المنسوب المرجعي لمدخل المبنى","9169272","1151707","0","2026-01-26 19:00:00","322565-1-1","Obtain the Gate Level of a Building Entrance","معتمدة","322565","2017-12-19","null","Approved","null"
"null","null","5709","تقديم نهائي \ تعديلات أو أضافات","3520741","399797","0","2026-01-26 19:00:00","150149-10-1","Final-Adjustment/Addition","معادة","150149","2010-05-25","null","RETURNED","Investment Villa"
"null","2023-10-18","0","إلغاء  معاملة ترخيص","3450894","1624970","0","2026-01-26 19:00:00","412656-2-1","Permit Application Cancellation","معتمدة","412656","2023-10-17","null","Approved","null"
"null","null","0","طلب مخططات البناء","6651422","1608789","0","2026-01-26 19:00:00","409240-1-1","Apply for Buildings Drawings","معادة","409240","2023-08-22","null","RETURNED","Private Villa"
"null","null","0","إستثناءات","3150114","832316","0","2026-01-26 19:00:00","256750-3-1","Request for Exceptions","معادة","256750","2015-08-13","null","RETURNED","Public Building"
"null","2023-09-19","0","طلب تصريح اشغال مؤقت للأراضي","6173764","1616962","0","2026-01-26 19:00:00","411457-1-1","Temporary permit to Occupy Parcel","الرخصة مسلمة","411457","2023-09-18","2023-09-19","Permit Delivered","null"
"null","null","122473","تقديم نهائي \ مبنى جديد","3920594","1699839","0","2026-01-26 19:00:00","306247-6-2","Final-New Building","معادة","306247","2024-07-23","null","RETURNED","Floor Area Ratio"
"null","null","618","تقديم نهائي \ مبنى جديد","1270989","463879","0","2026-01-26 19:00:00","195697-2-1","Final-New Building","معادة","195697","2011-03-30","null","RETURNED","Multi Storey"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3265625","1215196","0","2026-01-26 19:00:00","310755-13-2","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","310755","2018-06-28","null","RETURNED","Floor Area Ratio"
"null","null","0","تقديم نهائي - ترخيص اعمال الحفر وتدعيم الحفر ونضح المياه","3720595","557437","0","2026-01-26 19:00:00","187698-8-1","Final Arrangement and Digging","معادة","187698","2012-07-18","null","RETURNED","Industrial Building"
"null","null","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","3530358","275715","0","2026-01-26 19:00:00","134506-7-1","Adjustment and Addition Permit Simple (Consultant, contractor)","معادة","134506","2008-10-28","null","RETURNED","Multi Storey"
"null","null","12","تقديم نهائي \ تعديلات أو أضافات","2610197","1078784","0","2026-01-26 19:00:00","187372-10-1","Final-Adjustment/Addition","معادة","187372","2017-06-13","null","RETURNED","Private Villa"
"null","null","20","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","1280769","383930","0","2026-01-26 19:00:00","185128-1-2","Adjustment and Addition Permit Simple (Consultant, contractor)","معاملة معادة ملغاة","185128","2010-03-15","null","Returned Application Cancelled","Industrial Building"
"null","null","13","تقديم نهائي \ تعديلات أو أضافات","5918403","1606817","0","2026-01-26 19:00:00","366747-21-1","Final-Adjustment/Addition","معادة","366747","2023-08-18","null","RETURNED","Multi Storey"
"null","2017-06-21","0","إستثناءات","6311119","1065071","0","2026-01-26 19:00:00","306017-5-1","Request for Exceptions","معتمدة","306017","2017-05-09","null","Approved","Floor Area Ratio"
"null","2012-09-02","0","إلغاء  معاملة ترخيص","2814999","564920","0","2026-01-26 19:00:00","199529-7-1","Permit Application Cancellation","معتمدة","199529","2012-09-02","null","Approved","null"
"null","2024-11-20","0","ترخيص أعمال تعديلات وإضافات بسيطة (استشاري، مقاول)","6189009","1737709","0","2026-01-26 19:00:00","257600-17-1","Adjustment and Addition Permit Simple (Consultant, contractor)","الرخصة مسلمة","257600","2024-11-13","2024-11-20","Permit Delivered","Floor Area Ratio"
