Quarter,الشهر,الربع السنوي,Description,Item_id2,HeaderField_Id,Title,العنوان,Quarter_Number,Month,Type,الوصف,Year,Value,Month_Number,Item_id,النوع
"First Quarter","يناير","الربع الأول","---","370477","8902","Number","العدد","1","January","Private Villa","إضافات وتعديلات","2010","580","1","6714","فلل خاصة"
"First Quarter","يناير","الربع الأول","---","370477","8903","Number","العدد","1","January","Private Villa","بناء جديد","2010","177","1","6714","فلل خاصة"
"First Quarter","يناير","الربع الأول","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","1","January","Private Villa","إضافات وتعديلات","2010","217323.9","1","6715","فلل خاصة"
"First Quarter","يناير","الربع الأول","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","1","January","Private Villa","بناء جديد","2010","1229804.1","1","6715","فلل خاصة"
"First Quarter","يناير","الربع الأول","---","370478","8902","Number","العدد","1","January","Investment Villa","إضافات وتعديلات","2010","31","1","6716","فلل إستثمارية"
"First Quarter","يناير","الربع الأول","---","370478","8903","Number","العدد","1","January","Investment Villa","بناء جديد","2010","4","1","6716","فلل إستثمارية"
"First Quarter","يناير","الربع الأول","---","370478","8902","Area (Square foot)","المساحة بالقدم مربع","1","January","Investment Villa","إضافات وتعديلات","2010","242.2","1","6717","فلل إستثمارية"
"First Quarter","يناير","الربع الأول","---","370478","8903","Area (Square foot)","المساحة بالقدم مربع","1","January","Investment Villa","بناء جديد","2010","69600.4","1","6717","فلل إستثمارية"
"First Quarter","يناير","الربع الأول","---","370479","8902","Number","العدد","1","January","Industrial Buildings","إضافات وتعديلات","2010","50","1","6718","مباني صناعية"
"First Quarter","يناير","الربع الأول","---","370479","8903","Number","العدد","1","January","Industrial Buildings","بناء جديد","2010","2","1","6718","مباني صناعية"
"First Quarter","يناير","الربع الأول","---","370479","8902","Area (Square foot)","المساحة بالقدم مربع","1","January","Industrial Buildings","إضافات وتعديلات","2010","205672.7","1","6719","مباني صناعية"
"First Quarter","يناير","الربع الأول","---","370479","8903","Area (Square foot)","المساحة بالقدم مربع","1","January","Industrial Buildings","بناء جديد","2010","74946.8","1","6719","مباني صناعية"
"First Quarter","يناير","الربع الأول","---","370480","8902","Number","العدد","1","January","Public Buildings","إضافات وتعديلات","2010","91","1","6720","مباني عامة"
"First Quarter","يناير","الربع الأول","---","370480","8903","Number","العدد","1","January","Public Buildings","بناء جديد","2010","22","1","6720","مباني عامة"
"First Quarter","يناير","الربع الأول","---","370480","8902","Area (Square foot)","المساحة بالقدم مربع","1","January","Public Buildings","إضافات وتعديلات","2010","150281.7","1","6721","مباني عامة"
"First Quarter","يناير","الربع الأول","---","370480","8903","Area (Square foot)","المساحة بالقدم مربع","1","January","Public Buildings","بناء جديد","2010","533701.1","1","6721","مباني عامة"
"First Quarter","يناير","الربع الأول","---","370481","8902","Number","العدد","1","January","Multi-Storey Buildings","إضافات وتعديلات","2010","138","1","6722","مباني متعددة الطوابق"
"First Quarter","يناير","الربع الأول","---","370481","8903","Number","العدد","1","January","Multi-Storey Buildings","بناء جديد","2010","5","1","6722","مباني متعددة الطوابق"
"First Quarter","يناير","الربع الأول","---","370481","8902","Area (Square foot)","المساحة بالقدم مربع","1","January","Multi-Storey Buildings","إضافات وتعديلات","2010","72880.7","1","6723","مباني متعددة الطوابق"
"First Quarter","يناير","الربع الأول","---","370481","8903","Area (Square foot)","المساحة بالقدم مربع","1","January","Multi-Storey Buildings","بناء جديد","2010","232422","1","6723","مباني متعددة الطوابق"
"First Quarter","يناير","الربع الأول","---","370482","8902","Number","العدد","1","January","Floor Area Ratio Buildings","إضافات وتعديلات","2010","40","1","6724","مباني نسب طابقية"
"First Quarter","يناير","الربع الأول","---","370482","8903","Number","العدد","1","January","Floor Area Ratio Buildings","بناء جديد","2010","7","1","6724","مباني نسب طابقية"
"First Quarter","يناير","الربع الأول","---","370482","8902","Area (Square foot)","المساحة بالقدم مربع","1","January","Floor Area Ratio Buildings","إضافات وتعديلات","2010","829.6","1","6725","مباني نسب طابقية"
"First Quarter","يناير","الربع الأول","---","370482","8903","Area (Square foot)","المساحة بالقدم مربع","1","January","Floor Area Ratio Buildings","بناء جديد","2010","1608260.3","1","6725","مباني نسب طابقية"
"First Quarter","فبراير","الربع الأول","---","370477","8902","Number","العدد","1","February","Private Villa","إضافات وتعديلات","2010","600","2","6714","فلل خاصة"
"First Quarter","فبراير","الربع الأول","---","370477","8903","Number","العدد","1","February","Private Villa","بناء جديد","2010","169","2","6714","فلل خاصة"
"First Quarter","فبراير","الربع الأول","---","370477","8902","Area (Square foot)","المساحة بالقدم مربع","1","February","Private Villa","إضافات وتعديلات","2010","180182","2","6715","فلل خاصة"
"First Quarter","فبراير","الربع الأول","---","370477","8903","Area (Square foot)","المساحة بالقدم مربع","1","February","Private Villa","بناء جديد","2010","1199782.6","2","6715","فلل خاصة"
"First Quarter","فبراير","الربع الأول","---","370478","8902","Number","العدد","1","February","Investment Villa","إضافات وتعديلات","2010","23","2","6716","فلل إستثمارية"
"First Quarter","فبراير","الربع الأول","---","370478","8903","Number","العدد","1","February","Investment Villa","بناء جديد","2010","2","2","6716","فلل إستثمارية"
