name_ar,area_id,municipality_number,load_timestamp,name_en
"اليلايس 5","510","925","2025-10-31 12:00:03","Al Yelayiss 5"
"الزرعونيه","262","0","2025-10-31 12:00:03","Al-Zarouniyyah"
"الصفوح الاولى","307","372","2025-10-31 12:00:03","Al Safouh First"
"الحميرا","496","826","2025-10-31 12:00:03","Le Hemaira"
"نخلة ديرة","432","101","2025-10-31 12:00:03","Palm Deira"
"لهباب","294","0","2025-10-31 12:00:03","Lehbab"
"العسبق","281","0","2025-10-31 12:00:03","Al Asbaq"
"وادي الصفا 6","434","664","2025-10-31 12:00:03","Wadi Al Safa 6"
"محيصنه الثالثه","311","244","2025-10-31 12:00:03","Muhaisanah Third"
"الخوانيج","257","0","2025-10-31 12:00:03","Al Khawaneej"
"القوز الصناعيه الرابعه","373","369","2025-10-31 12:00:03","Al Goze Industrial Fourth"
"ام سقيم","229","0","2025-10-31 12:00:03","Um Suqaim"
"بر دبى","384","0","2025-10-31 12:00:03","Bur Dubai"
"القوز الاولى","338","354","2025-10-31 12:00:03","Al Goze First"
"معشره البحارنه","385","0","2025-10-31 12:00:03","Muashrah Al Bahraana"
"ام هرير الاولى","325","314","2025-10-31 12:00:03","Um Hurair First"
"الحبيه الاولى","444","674","2025-10-31 12:00:03","Al Hebiah First"
"العذبة","473","431","2025-10-31 12:00:03","AL Athbah"
"المطينه","249","123","2025-10-31 12:00:03","Al Muteena"
"الحبيه السادسة","531","677","2025-10-31 12:00:03","Al Hebiah Sixth"
"سكه الخيل","422","0","2025-10-31 12:00:03","Sikka Al Khail"
"الخوانيج الأولى","396","281","2025-10-31 12:00:03","Al Khawaneej First"
"الخبيصى","247","128","2025-10-31 12:00:03","Al Khabeesi"
"الصفيه","243","0","2025-10-31 12:00:03","Al-Safiyyah"
"القصيص","241","0","2025-10-31 12:00:03","Al Qusais"
"الرقه","356","119","2025-10-31 12:00:03","Al Rega"
"مدينة المطار","462","521","2025-10-31 12:00:03","Madinat Al Mataar"
"وادي الصفا 5","467","648","2025-10-31 12:00:03","Wadi Al Safa 5"
"رقه البطين","255","125","2025-10-31 12:00:03","Rega Al Buteen"
"الفهيدى","283","0","2025-10-31 12:00:03","Al Fahidi"
"سكه الخيل جنوب","419","0","2025-10-31 12:00:03","Sikkat Al Khail South"
"الحضيبه","365","322","2025-10-31 12:00:03","Al Hudaiba"
"الطوار الثالثه","359","228","2025-10-31 12:00:03","Al Twar Third"
"الحبيه الثانية","452","675","2025-10-31 12:00:03","Al Hebiah Second"
"السوق الكبير","367","312","2025-10-31 12:00:03","Al Suq Al Kabeer"
"مردف","232","251","2025-10-31 12:00:03","Mirdif"
"سوق سكه الخيل","426","0","2025-10-31 12:00:03","Souq Sikkat Al Khail"
"الصناعيه","287","0","2025-10-31 12:00:03","Al Sanaiyya"
"الحبيه الخامسة","451","683","2025-10-31 12:00:03","Al Hebiah Fifth"
"القصيص الصناعيه الثانيه","320","243","2025-10-31 12:00:03","Al Qusais Industrial Second"
"الحمريه","269","313","2025-10-31 12:00:03","Al Hamriya"
"نزوه","392","736","2025-10-31 12:00:03","Nazwah"
"ند الحمر","264","416","2025-10-31 12:00:03","Nad Al Hamar"
"جبل علي الصناعية الثالثة","479","516","2025-10-31 12:00:03","Jabal Ali Industrial Third"
"ند الشبا","285","600","2025-10-31 12:00:03","Nad Al Shiba"
"الليان1","519","987","2025-10-31 12:00:03","Al Layan1"
"البستكيه","387","0","2025-10-31 12:00:03","Al-Bastakiyah"
"القصيص الصناعيه الخامسه","323","248","2025-10-31 12:00:03","Al Qusais Industrial Fifth"
"سكه الخيل شمال","417","0","2025-10-31 12:00:03","Sikkat Al Khail North"
"ند الشبا الثالثه","337","616","2025-10-31 12:00:03","Nad Al Shiba Third"
"ام رمول","248","215","2025-10-31 12:00:03","Um Ramool"
"سوق اللاريه","428","0","2025-10-31 12:00:03","Souq Al-Lariyyah"
"راس الخور الصناعيه الثانيه","319","613","2025-10-31 12:00:03","Ras Al Khor Industrial Second"
"الثنيه الخامسة","350","393","2025-10-31 12:00:03","Al Thanyah Fifth"
"الزروب","429","0","2025-10-31 12:00:03","Al Zaroob"
"مدينة هند 4","505","914","2025-10-31 12:00:03","Madinat Hind 4"
"الراشديه","300","216","2025-10-31 12:00:03","Al Rashidiya"
"القوز الثالثه","347","358","2025-10-31 12:00:03","Al Goze Third"
"ند شما","327","213","2025-10-31 12:00:03","Nad Shamma"
"البرشاء جنوب الخامسة","442","684","2025-10-31 12:00:03","Al Barsha South Fifth"
"الحثمة","512","956","2025-10-31 12:00:03","Al Hathmah"
"ام سقيم الثانيه","304","362","2025-10-31 12:00:03","Um Suqaim Second"
"القوز","277","0","2025-10-31 12:00:03","Al Qoaz"
"الورقاء الاولى","297","421","2025-10-31 12:00:03","Al Warqa First"
"المصلى - دبي","268","0","2025-10-31 12:00:03","Al Musalla (Dubai)"
"مدينة المهرجان الأولى","436","0","2025-10-31 12:00:03","Festival City First"
"الرقه غرب","253","0","2025-10-31 12:00:03","Al-Riqqa West"
"ورسان الاولى","343","621","2025-10-31 12:00:03","Al Warsan First"
"غدير براشي","514","967","2025-10-31 12:00:03","Ghadeer Barashy"
"جزيرة جميرا الأولى","456","301","2025-10-31 12:00:03","Jumeira Island First"
"جزيرة جميرا الثانية","530","304","2025-10-31 12:00:03","Jumeira Island 2"
"زعبيل الاولى","331","325","2025-10-31 12:00:03","Zaabeel First"
"القوز الصناعيه الاولى","308","364","2025-10-31 12:00:03","Al Goze Industrial First"
"ند الشبا الاولى","335","618","2025-10-31 12:00:03","Nad Al Shiba First"
"عود المطينة","474","268","2025-10-31 12:00:03","OUD AL MUTEENA"
"ند راشد","427","0","2025-10-31 12:00:03","Nad Rashid"
"الطوار الثانيه","310","227","2025-10-31 12:00:03","Al Twar Second"
"جزيرة 2","527","302","2025-10-31 12:00:03","Island 2"
"القياده","424","0","2025-10-31 12:00:03","Al-Qiyadah"
"المزهر الثالثة","403","266","2025-10-31 12:00:03","Al Mizhar Third"
"يراح","468","861","2025-10-31 12:00:03","Yaraah"
"ورسان الرابعة","483","624","2025-10-31 12:00:03","Warsan Fourth"
"طريق ابوظبى","389","0","2025-10-31 12:00:03","Tareeq Abu Dhabi"
"ميناء جبل علي","477","594","2025-10-31 12:00:03","Mena Jabal Ali"
"الورقاء الخامسة","450","425","2025-10-31 12:00:03","Al Warqa Fifth"
"راس الخور","282","413","2025-10-31 12:00:03","Ras Al Khor"
"جبل علي الصناعية الثانية","478","518","2025-10-31 12:00:03","Jabal Ali Industrial Second"
"الشندغه غرب","275","0","2025-10-31 12:00:03","Shandagha West"
"البرشاء جنوب الاولى","415","671","2025-10-31 12:00:03","Al Barshaa South First"
"جميرا الاولى","317","332","2025-10-31 12:00:03","Jumeirah First"
"هور العنز شرق","234","133","2025-10-31 12:00:03","Hor Al Anz East"
"الرفاعه","267","316","2025-10-31 12:00:03","Al Raffa"
"لهباب الاولى","489","731","2025-10-31 12:00:03","Lehbab First"
"جبل على الصناعية الأولى","395","599","2025-10-31 12:00:03","Jabal Ali Industrial First"
"الوصل","364","343","2025-10-31 12:00:03","Al Wasl"
"القرهود","378","214","2025-10-31 12:00:03","Al Garhoud"
"الضاحيه الجديده","425","0","2025-10-31 12:00:03","Al-Dzahiyyah Al-Jadeedah"
"النبغا","290","0","2025-10-31 12:00:03","Al-Nabgha"
"ام هرير الثانيه","326","315","2025-10-31 12:00:03","Um Hurair Second"
"الميدان","440","0","2025-10-31 12:00:03","Almeydan"
"مرييل","495","821","2025-10-31 12:00:03","Mereiyeel"
"طوى مرقب","302","0","2025-10-31 12:00:03","Tawi Al Muraqqab"
"كورنيش ديره","416","121","2025-10-31 12:00:03","Cornich Deira"
"طوى الصايغ","279","451","2025-10-31 12:00:03","Tawaa Al Sayegh"
"رماح","501","851","2025-10-31 12:00:03","Remah"
"مدينة دبي الملاحية","333","321","2025-10-31 12:00:03","Madinat Dubai Almelaheyah"
"الخيران الثانية","448","0","2025-10-31 12:00:03","Al Khairan  Second"
"اللسيلى","391","931","2025-10-31 12:00:03","Al Lusaily"
"سوق التمر","261","0","2025-10-31 12:00:03","Souq Al-Tamar"
"الشمال","379","0","2025-10-31 12:00:03","Al-Shumaal"
"القوز الصناعيه الثالثه","309","368","2025-10-31 12:00:03","Al Goze Industrial Third"
"الرويه الثالثه","471","814","2025-10-31 12:00:03","Al Rowaiyah Third"
"المرموم","288","917","2025-10-31 12:00:03","Al Marmoom"
"العشوش","516","975","2025-10-31 12:00:03","Al Oshoosh"
"البطين","254","114","2025-10-31 12:00:03","Al Buteen"
"اليلايس 1","506","921","2025-10-31 12:00:03","Al Yelayiss 1"
"تلال الامارات الرابعه","353","0","2025-10-31 12:00:03","Emirates Hills Fourth"
"مطار دبي الدولي","430","221","2025-10-31 12:00:03","Dubai International Airport"
