Year,Value,Title,العنوان,Item_id
"2010","57809887624","Sales","المبايعات","330721"
"2010","20642061581","Sales","المبايعات","330721"
"2010","6250028172","Sales","المبايعات","330721"
"2010","46730","Sales","المبايعات","330721"
"2010","3308","Sales","المبايعات","330721"
"2010","41330","Sales","المبايعات","330721"
"2010","84701977377","Sales","المبايعات","330721"
"2010","2092","Sales","المبايعات","330721"
"2010","56521828674","Mortgages","الرهون","330722"
"2010","11902","Mortgages","الرهون","330722"
"2010","3682","Mortgages","الرهون","330722"
"2010","12262456546","Mortgages","الرهون","330722"
"2010","1928299507","Mortgages","الرهون","330722"
"2010","920","Mortgages","الرهون","330722"
"2010","7300","Mortgages","الرهون","330722"
"2010","70712584728","Mortgages","الرهون","330722"
"2010","7361184992","Other","أخرى","330723"
"2010","443","Other","أخرى","330723"
"2010","927","Other","أخرى","330723"
"2010","865737944","Other","أخرى","330723"
"2010","8340451549","Other","أخرى","330723"
"2010","1419","Other","أخرى","330723"
"2010","113528613","Other","أخرى","330723"
"2010","49","Other","أخرى","330723"
"2011","30953","Sales","المبايعات","330721"
"2011","22872024845","Sales","المبايعات","330721"
"2011","62674396647","Sales","المبايعات","330721"
"2011","35654494682","Sales","المبايعات","330721"
"2011","3441","Sales","المبايعات","330721"
"2011","26159","Sales","المبايعات","330721"
"2011","4147877120","Sales","المبايعات","330721"
"2011","1353","Sales","المبايعات","330721"
"2011","2049160083","Mortgages","الرهون","330722"
"2011","108585434887","Mortgages","الرهون","330722"
"2011","10048","Mortgages","الرهون","330722"
"2011","662","Mortgages","الرهون","330722"
"2011","3397","Mortgages","الرهون","330722"
"2011","125481464720","Mortgages","الرهون","330722"
"2011","14846869751","Mortgages","الرهون","330722"
"2011","5989","Mortgages","الرهون","330722"
"2011","921635308","Other","أخرى","330723"
"2011","235659213","Other","أخرى","330723"
"2011","1445","Other","أخرى","330723"
"2011","75","Other","أخرى","330723"
"2011","2447378354","Other","أخرى","330723"
"2011","971","Other","أخرى","330723"
"2011","399","Other","أخرى","330723"
"2011","3604672875","Other","أخرى","330723"
"2012","1493","Sales","المبايعات","330721"
"2012","75193410527","Sales","المبايعات","330721"
"2012","31963513036","Sales","المبايعات","330721"
"2012","30206","Sales","المبايعات","330721"
"2012","5331","Sales","المبايعات","330721"
"2012","37030","Sales","المبايعات","330721"
"2012","3300394806","Sales","المبايعات","330721"
"2012","39929502685","Sales","المبايعات","330721"
"2012","2136931149","Mortgages","الرهون","330722"
"2012","101741507634","Mortgages","الرهون","330722"
"2012","747","Mortgages","الرهون","330722"
"2012","110382709594","Mortgages","الرهون","330722"
"2012","6504270812","Mortgages","الرهون","330722"
"2012","3224","Mortgages","الرهون","330722"
"2012","8998","Mortgages","الرهون","330722"
"2012","5027","Mortgages","الرهون","330722"
"2012","1454745782","Other","أخرى","330723"
"2012","118579525","Other","أخرى","330723"
"2012","3297317700","Other","أخرى","330723"
"2012","2157","Other","أخرى","330723"
"2012","53","Other","أخرى","330723"
"2012","4870643007","Other","أخرى","330723"
"2012","690","Other","أخرى","330723"
"2012","1414","Other","أخرى","330723"
"2013","8078488056","Sales","المبايعات","330721"
"2013","60904875146","Sales","المبايعات","330721"
"2013","61703","Sales","المبايعات","330721"
"2013","73853569591","Sales","المبايعات","330721"
"2013","3821","Sales","المبايعات","330721"
"2013","142836932793","Sales","المبايعات","330721"
"2013","8962","Sales","المبايعات","330721"
"2013","48920","Sales","المبايعات","330721"
"2013","1120","Mortgages","الرهون","330722"
"2013","4320","Mortgages","الرهون","330722"
"2013","2745024868","Mortgages","الرهون","330722"
"2013","10112455879","Mortgages","الرهون","330722"
"2013","116011717640","Mortgages","الرهون","330722"
"2013","6954","Mortgages","الرهون","330722"
"2013","103154236894","Mortgages","الرهون","330722"
"2013","12394","Mortgages","الرهون","330722"
"2013","1968","Other","أخرى","330723"
"2013","3305","Other","أخرى","330723"
"2013","5414916539","Other","أخرى","330723"
"2013","730","Other","أخرى","330723"
"2013","1813631432","Other","أخرى","330723"
"2013","9128661683","Other","أخرى","330723"
"2013","1900113712","Other","أخرى","330723"
"2013","607","Other","أخرى","330723"
"2014","41364","Sales","المبايعات","330721"
"2014","63951711141","Sales","المبايعات","330721"
"2014","8044653633","Sales","المبايعات","330721"
"2014","54310","Sales","المبايعات","330721"
"2014","138421202015","Sales","المبايعات","330721"
"2014","66424837241","Sales","المبايعات","330721"
"2014","9861","Sales","المبايعات","330721"
"2014","3085","Sales","المبايعات","330721"
"2014","13127","Mortgages","الرهون","330722"
"2014","104282227016","Mortgages","الرهون","330722"
"2014","87942042364","Mortgages","الرهون","330722"
"2014","943","Mortgages","الرهون","330722"
"2014","4345","Mortgages","الرهون","330722"
"2014","12464586249","Mortgages","الرهون","330722"
"2014","7839","Mortgages","الرهون","330722"
"2014","3875598403","Mortgages","الرهون","330722"
"2014","552","Other","أخرى","330723"
"2014","9815661668","Other","أخرى","330723"
"2014","3419","Other","أخرى","330723"
"2014","6607590344","Other","أخرى","330723"
"2014","2572","Other","أخرى","330723"
"2014","295","Other","أخرى","330723"
"2014","2580886385","Other","أخرى","330723"
"2014","627184939","Other","أخرى","330723"
"2015","48260519340","Sales","المبايعات","330721"
"2015","73927454762","Sales","المبايعات","330721"
"2015","6847078774","Sales","المبايعات","330721"
"2015","11265","Sales","المبايعات","330721"
"2015","47320","Sales","المبايعات","330721"
"2015","33192","Sales","المبايعات","330721"
"2015","129035052876","Sales","المبايعات","330721"
"2015","2863","Sales","المبايعات","330721"
"2015","8243","Mortgages","الرهون","330722"
"2015","14144","Mortgages","الرهون","330722"
"2015","12868289810","Mortgages","الرهون","330722"
"2015","126895282436","Mortgages","الرهون","330722"
"2015","960","Mortgages","الرهون","330722"
"2015","2041857186","Mortgages","الرهون","330722"
"2015","111985135440","Mortgages","الرهون","330722"
"2015","4941","Mortgages","الرهون","330722"
"2015","597577715","Other","أخرى","330723"
"2015","263","Other","أخرى","330723"
"2015","650","Other","أخرى","330723"
"2015","2797","Other","أخرى","330723"
"2015","3710","Other","أخرى","330723"
"2015","19885539567","Other","أخرى","330723"
"2015","3477418516","Other","أخرى","330723"
