zoning_authority_ar,project_status,developer_name,master_developer_number,project_type_ar,project_classification_ar,area_id,project_name,project_end_date,escrow_agent_name,no_of_buildings,project_id,project_status_ar,developer_number,developer_id,project_start_date,project_type_id,no_of_lands,master_project_en,no_of_units,no_of_villas,project_classification_id,area_name_en,property_id,cancellation_date,zoning_authority_id,percent_completed,master_developer_id,escrow_agent_id,area_name_ar,project_number,project_description_en,master_developer_name,zoning_authority_en,completion_date,master_project_ar,project_description_ar
"سلطة دبي للتطوير","FINISHED","تيكوم للإستثمارات منطقة حرة- ذ.م.م","856","عادي","مباني","452","سيليا رزيدانس","2024-09-14","بنك الإمارات دبي الوطني (ش.م.ع)","1","426351107","منجز","1363","372229066","2022-09-15","1","0","Dubai Studio City","111","0","1","Al Hebiah Second","995208962","null","2","100","856","7","الحبيه الثانية","2426","RESIDENTIAL BUILDING ( G + 4 FLOORS + ROOF)","تيكوم للإستثمارات منطقة حرة- ذ.م.م","Dubai Development Authority (DDA)","2024-09-14","مدينة دبي للستديو","مبنى سكني مؤلف من طابق أرضي + 4 طوابق + سطح"
"تراخيص","ACTIVE","شركة نخيل (ش.م.خ)","100","عادي","فلل","445","قرية جبل علي تاون هاوسز- المرحلة 3","2025-12-31","بنك المشرق (شركة مساهمة عامة)","0","411471164","فعال","114","114","2022-09-29","1","205","Jabal Ali Village","0","0","2","Jabal Ali First","2134812357","null","4","79","100","33","جبل علي الأولى","2387","196 Villas with amenities.The project designed to have a concrete structure and block with internal and external finishes.","شركة نخيل (ش.م.خ)","Trakhees","2025-12-31","قرية جبل علي","N/A"
"سلطة دبي للتطوير","FINISHED","شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م","1021","عادي","فلل","505","داماك هيلز ( 2 ) - باسوود","2022-03-21","بنك ابوظبى التجارى","0","34098121","منجز","1021","13743506","2016-12-20","1","418","DAMAC HILLS 2","0","0","2","Madinat Hind 4","192523363","null","2","100","13743506","5","مدينة هند 4","1803","Project consists of a cluster of freehold G+1  of 419 Villas located in Al-Yufrah 3 Area The Villas are designed to have concrete structure and block with internal and external finishes . ","شركة الخط الامامي لادارة الاستثمار ش.ذ.م.م","Dubai Development Authority (DDA)","2022-03-21","داماك هيليز 2","المشروع يتكون من 419 فيلا في منطقة اليفرة 3 و هو عبارة عن فلل طابق أرضي + أول و و البناء عبارة عن تشطيبات داخلية و خارجية "
"سلطة دبي للتطوير","ACTIVE","اعمار العقارية (ش . م. ع)","555","عادي","مباني","390","بن غاطي سكاي بليد","2027-11-30","بنك دبي الاسلامي (شركة مساهمة عامة)","1","751875646","فعال","1051","15782130","2025-02-01","1","0","DownTown Dubai","621","0","1","Burj Khalifa","1501196106","null","2","6","555","1","برج خليفة","3725","4B + G + 3P + 61 + R","اعمار العقارية (ش . م. ع)","Dubai Development Authority (DDA)","null","داون تاون دبي","4B + G + 3P + 61 + R"
"تراخيص","FINISHED","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","441","كابادوكيا","2013-08-15","بنك أبوظبي الأول ش.م.ع.","1","634","منجز","413","413","2008-09-01","1","0","Jumeirah Village Circle","65","0","1","Al Barsha South Fourth","105149537","null","4","100","102","25","البرشاء جنوب الرابعة","634","Freehold residential development located at Jumeirah Village South. Designed and constructed as B+G+4 Floor level building; designed to be built as a concrete skeleton and block works with cement render finishes.","قرية جميرا (ش.ذ.م.م)","Trakhees","2013-12-31","قرية جميرا الدائرية","مشروع مبنى سكني للتملك الحر يقع في منطقة قرية الجميرا الاولى. البناية مؤلفة طابق ارضي+اربعة طوابق علويه مع سرداب مواقف سيارات. المبنى عبارة عن هيكل خرساني مع انهاءاته الخارجية و الداخلية "
"سلطة دبي للتطوير","ACTIVE","مدينة دبي الرياضية (ش. ذ. م. م)","200","عادي","مباني","435","سبورتز من دانوب ","2026-03-30","البنك العربي المتحد","2","556630812","فعال","1009","12777430","2024-06-01","1","0","Dubai Sports City","1110","0","1","Al Hebiah Fourth","761732147","null","2","33","200","33602168","الحبيه الرابعة","2845","Building 1 (A):33F+R,Building 2 (B):33F+R,(shared):G+5P+R. Residential , The project designed to have a concrete structure and block with internal and external finishes.","مدينة دبي الرياضية (ش. ذ. م. م)","Dubai Development Authority (DDA)","null","مدينة دبي الرياضية","N/A"
"تراخيص","ACTIVE","قرية جميرا (ش.ذ.م.م)","102","عادي","مباني","442","ذا فاين ريزدينسز","2026-11-25","بنك ابوظبى التجارى","1","612886319","فعال","1283","286207789","2024-05-15","1","0","Jumeirah Village Triangle","263","0","1","Al Barsha South Fifth","2131888752","null","4","37","102","5","البرشاء جنوب الخامسة","3094","G+4 + Commerical & Services. FL +16 Typical + PH ","قرية جميرا (ش.ذ.م.م)","Trakhees","2026-11-25","قرية جميرا المثلثة","أرضي + 4 + تجاري وخدمات. +16طابق نموذجي + بينتهاوس"
"تراخيص","NOT_STARTED","الفرجان ( ش.ذ.م.م )","121","عادي","فلل","445","توري باي أي جي أو ","2027-04-30","بنك أبوظبي الأول ش.م.ع.","0","760845474","تحت الانشاء","1328","354178374","2025-08-01","1","0","Al Furjan","0","15","2","Jabal Ali First","443196706","null","4","0","121","25","جبل علي الأولى","3779","15Villas B+G+1 ","الفرجان ( ش.ذ.م.م )","Trakhees","null","الفرجان","15فيلا قبو+أرضي + أول"
"سلطة دبي للتطوير","FINISHED","دبي للعقارات (ش.ذ.م.م)","850","عادي","مباني","467","سندس روزا","2010-12-31","بنك دبي الاسلامي (شركة مساهمة عامة)","1","831","منجز","602","602","2008-12-10","1","0","Dubai Land Residence Complex","0","0","1","Wadi Al Safa 5","1258748521","null","2","100","850","1","وادي الصفا 5","831"," ","دبي للعقارات (ش.ذ.م.م)","Dubai Development Authority (DDA)","2013-10-03","مجمع دبي لاند السكني"," "
"تراخيص","PENDING","شركة نخيل (ش.م.خ)","100","عادي","مباني","432","لا كريستال","2028-09-30","مصرف الشارقه الاسلامى","1","806380170","قيد التسجيل","2208","712205007","2025-10-01","1","0","Palm Deira","64","0","1","Palm Deira","1788396659","null","4","0","100","16","نخلة ديرة","4059","Residential G+2P+8F+R Building","شركة نخيل (ش.م.خ)","Trakhees","null","نخلة ديرة","مبنى سكني مكون من طابق ارضي+ 2 بوديوم + 8 طوابق + سطح"
