procedure_name_en,actual_worth,procedure_year,property_type_en,procedure_id,procedure_area,property_sub_type_id,procedure_number,procedure_name_ar,instance_date,area_name_en,property_type_ar,area_id,load_timestamp,property_type_id,area_name_ar,property_sub_type_en,actual_area,row_status_code,property_sub_type_ar,property_total_value
"Property Evaluation","35000000","2024","Land","24","907.94","62","8302","تقييم عقار","2024-12-11 00:00:00","Hor Al Anz","ارض","233","2026-02-26 17:09:23","1","هور العنز","Commercial","907.94","COMPLETED","تجارية","35000000"
"Property Evaluation","1500000","2025","Unit","24","37.72","112","7430","تقييم عقار","2025-11-12 00:00:00","World Islands","وحدة","413","2026-02-26 17:09:23","3","جزر العالم","Hotel Rooms","37.72","COMPLETED","غرفة فندقية","1500000"
"Property Evaluation","32000000","2012","Land","24","933.02","62","943","تقييم عقار","2012-06-04 00:00:00","Al Raffa","ارض","267","2026-02-26 17:09:23","1","الرفاعه","Commercial","933.03","COMPLETED","تجارية","32000000"
"Property Evaluation","14644394","2023","Land","24","6802.55","null","7989","تقييم عقار","2023-10-04 00:00:00","Al Khawaneej Second","ارض","397","2026-02-26 17:09:23","1","الخوانيج الثانية","null","11302.56","COMPLETED","null","14644394"
"Property Evaluation","2054398","2023","Land","24","636.2","63","5054","تقييم عقار","2023-06-06 00:00:00","Wadi Al Safa 5","ارض","467","2026-02-26 17:09:23","1","وادي الصفا 5","Residential","636.2","COMPLETED","سكنية","2054398"
"Property Evaluation","1062181","2018","Unit","24","98.68","42","5100","تقييم عقار","2018-08-12 00:00:00","Business Bay","وحدة","526","2026-02-26 17:09:23","3","الخليج التجارى","Office","98.68","COMPLETED","مكتب","1062181"
"Property Evaluation","12095986","2020","Land","24","749.17","62","1798","تقييم عقار","2020-07-15 00:00:00","Al Muteena","ارض","249","2026-02-26 17:09:23","1","المطينه","Commercial","749.17","COMPLETED","تجارية","12095986"
"Property Evaluation","2201309.46","2023","Building","24","289.7","4","9816","تقييم عقار","2023-12-13 00:00:00","Al Yelayiss 1","مبنى","506","2026-02-26 17:09:23","2","اليلايس 1","Villa","289.7","COMPLETED","فيلا","2201309.46"
"Property Evaluation","1295806.61","2023","Unit","24","127.97","60","2252","تقييم عقار","2023-03-21 00:00:00","Business Bay","وحدة","526","2026-02-26 17:09:23","3","الخليج التجارى","Flat","127.97","COMPLETED","شقه سكنيه","1295806.61"
"Property Evaluation","25000000","2014","Land","24","1852.67","65","1651","تقييم عقار","2014-03-27 00:00:00","Al Khabeesi","ارض","247","2026-02-26 17:09:23","1","الخبيصى","Industrial","1858.06","COMPLETED","صناعية","25000000"
