Quarter,الربع السنوي,Description,HeaderField_Id,Title,HeaderField_Id2,العنوان,Quarter_Number,Type,الوصف,Year,Value,Item_id,النوع
"First Quarter","الربع الأول","Value","22487","Sales","23248","المبايعات","1","Units","قيمة","2016","7392134181","362882","وحده"
"First Quarter","الربع الأول","Number","22488","Sales","23248","المبايعات","1","Units","عدد","2016","5664","362882","وحده"
"First Quarter","الربع الأول","Value","22489","Sales","23249","المبايعات","1","Building","قيمة","2016","985564051","362882","مبنى"
"First Quarter","الربع الأول","Number","22490","Sales","23249","المبايعات","1","Building","عدد","2016","363","362882","مبنى"
"First Quarter","الربع الأول","Value","22491","Sales","23250","المبايعات","1","Land","قيمة","2016","13001259723","362882","أرض"
"First Quarter","الربع الأول","Number","22492","Sales","23250","المبايعات","1","Land","عدد","2016","2344","362882","أرض"
"First Quarter","الربع الأول","Value","22487","Mortgages","23248","الرهون","1","Units","قيمة","2016","2676484262","362883","وحده"
"First Quarter","الربع الأول","Number","22488","Mortgages","23248","الرهون","1","Units","عدد","2016","2094","362883","وحده"
"First Quarter","الربع الأول","Value","22489","Mortgages","23249","الرهون","1","Building","قيمة","2016","590510825","362883","مبنى"
"First Quarter","الربع الأول","Number","22490","Mortgages","23249","الرهون","1","Building","عدد","2016","256","362883","مبنى"
"First Quarter","الربع الأول","Value","22491","Mortgages","23250","الرهون","1","Land","قيمة","2016","23016071836","362883","أرض"
"First Quarter","الربع الأول","Number","22492","Mortgages","23250","الرهون","1","Land","عدد","2016","1192","362883","أرض"
"First Quarter","الربع الأول","Value","22487","Other","23248","أخرى","1","Units","قيمة","2016","748305986","362884","وحده"
"First Quarter","الربع الأول","Number","22488","Other","23248","أخرى","1","Units","عدد","2016","750","362884","وحده"
"First Quarter","الربع الأول","Value","22489","Other","23249","أخرى","1","Building","قيمة","2016","82481178","362884","مبنى"
"First Quarter","الربع الأول","Number","22490","Other","23249","أخرى","1","Building","عدد","2016","27","362884","مبنى"
"First Quarter","الربع الأول","Value","22491","Other","23250","أخرى","1","Land","قيمة","2016","7483181788","362884","أرض"
"First Quarter","الربع الأول","Number","22492","Other","23250","أخرى","1","Land","عدد","2016","199","362884","أرض"
