contract_amount,ejari_property_sub_type_ar,project_name_en,ejari_bus_property_type_ar,property_usage_en,contract_id,ejari_property_sub_type_en,project_name_ar,property_usage_ar,area_id,tenant_type_en,contract_start_date,contract_end_date,nearest_metro_en,ejari_bus_property_type_id,no_of_prop,line_number,nearest_mall_en,nearest_metro_ar,ejari_bus_property_type_en,ejari_property_sub_type_id,nearest_mall_ar,tenant_type_id,annual_amount,contract_reg_type_en,ejari_property_type_en,is_free_hold,master_project_en,contract_reg_type_ar,ejari_property_type_ar,nearest_landmark_en,area_name_en,load_timestamp,nearest_landmark_ar,ejari_property_type_id,area_name_ar,project_number,actual_area,tenant_type_ar,master_project_ar,contract_reg_type_id
"31900","أستوديو","","وحدة","Residential","CNT2129627812","Studio","","سكني","453","Authority","2024-12-01","2025-11-30","","2","1","1","","","Unit","11","","1","31900","Renew","Flat","1","","تجديد","شقه","Dubai Parks and Resorts","Saih Shuaib 2","2025-12-11 23:26:31","دبي باركس اند ريزورتس","842","سيح شعيب 2","null","44","جهة","","2"
"200000","غرفه سكن عمال","","وحدة","Residential","CRT412379006","Room in labor Camp","","سكني","458","Authority","2016-03-10","2026-03-09","UAE Exchange Metro Station","2","235","152","Ibn-e-Battuta Mall","محطة مترو الإمارات العربية المتحدة للصرافة","Unit","12","ابن بطوطة مول","1","20000","New","Labor Camps","1","Dubai Investment Park First","جديد","سكن عمال","Expo 2020 Site","Dubai Investment Park First","2025-12-11 23:26:31","موقع إكسبو 2020","4","مجمع دبي للاستثمار الاول","null","32","جهة","مجمع دبي للاستثمار الاول","1"
"75600","غرفتين و صالة","","وحدة","Residential","CNT2130158049","2 bed rooms+hall","","سكني","443","Person","2025-03-10","2026-03-09","Dubai Internet City","2","1","1","Mall of the Emirates","مدينة دبي للإنترنت","Unit","2","مول الإمارات","0","75600","Renew","Flat","1","Barsha Heights","تجديد","شقه","Burj Al Arab","Al Thanyah First","2025-12-11 23:26:31","برج العرب","842","الثنيه الأولى","null","105","شخص","مرتفعات برشا","2"
"22000","غرفة و صالة","","وحدة","Residential","CRT1400151856","1bed room+Hall","","سكني","343","Authority","2021-03-08","2022-03-07","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","1","سيتي سنتر مردف","1","22000","New","Flat","1","International City Phase 1","جديد","شقه","","Al Warsan First","2025-12-11 23:26:31","","842","ورسان الاولى","null","69","جهة","المدينة العالمية - المرحلة الاولى","1"
"1965600","غرفه سكن عمال","","وحدة افتراضية","Residential","CNT917639177","Room in labor Camp","","سكني","360","Authority","2018-12-01","2019-11-30","Etisalat Metro Station","5","117","48","City Centre Mirdif","محطة مترو اتصالات","Virtual Unit","12","سيتي سنتر مردف","1","1965600","Renew","Labor Camps","0","","تجديد","سكن عمال","Dubai International Airport","Muhaisanah Second","2025-12-11 23:26:31","مطار دبي الدولي","4","محيصنه الثانيه","null","null","جهة","","2"
"90000","غرفة و صالة","MBL RESIDENCE","وحدة","Residential","CRT2011525557","1bed room+Hall","إم بي إل ريزيدينس","سكني","350","Authority","2022-10-15","2023-10-14","Jumeirah Lakes Towers","2","1","1","Marina Mall","أبراج بحيرات جميرا","Unit","1","مارينا مول","1","90000","New","Flat","1","Jumeirah Lakes Towers","جديد","شقه","Sports City Swimming Academy","Al Thanyah Fifth","2025-12-11 23:26:31","أكاديمية المدينة الرياضية للسباحة","842","الثنيه الخامسة","1934","70","جهة"," ابراج بحيرات الجميرا","1"
"56000","غرفتين و صالة","","وحدة","Residential","CNT163172239","2 bed rooms+hall","","سكني","357","Person","2013-10-16","2014-10-15","Airport Free Zone","2","1","1","City Centre Mirdif","المنطقة الحرة بالمطار","Unit","2","سيتي سنتر مردف","0","56000","Renew","Flat","0","","تجديد","شقه","Dubai International Airport","AL TWAR FIFTH","2025-12-11 23:26:31","مطار دبي الدولي","842","الطوار الخامسة","null","93","شخص","","2"
"20000","محل","","وحدة","Commercial","CRT297287456","Shop","","تجاري","343","Authority","2015-08-01","2017-07-31","Rashidiya Metro Station","2","1","1","City Centre Mirdif","محطة مترو الراشدية","Unit","421","سيتي سنتر مردف","1","10000","Renew","Shop","1","International City Phase 1","تجديد","محل","","Al Warsan First","2025-12-11 23:26:31","","1","ورسان الاولى","null","39","جهة","المدينة العالمية - المرحلة الاولى","2"
"200000","ثلاثة غرفة و صالة","","وحدة","Residential","CNT261057514","3 bed rooms+hall","","سكني","329","Person","2015-01-01","2015-12-31","Buj Khalifa Dubai Mall Metro Station","2","1","1","Dubai Mall","محطة مترو بوج خليفة دبي مول","Unit","3","مول دبي","0","200000","Renew","Flat","0","","تجديد","شقه","Burj Khalifa","Trade Center Second","2025-12-11 23:26:31","برج خليفة","842","المركز التجارى الثانيه","null","270","شخص","","2"
"128000","كشك","","وحدة","Commercial","CNT1316519138","Kiosk","","تجاري","254","Authority","2020-09-16","2021-12-15","Al Ras Metro Station","2","1","1","Dubai Mall","محطة مترو الراس","Unit","24","مول دبي","1","102400","Renew","Shop","0","","تجديد","محل","Dubai International Airport","Al Buteen","2025-12-11 23:26:31","مطار دبي الدولي","1","البطين","null","78","جهة","","2"
"35000","مكتب","","وحدة","Commercial","CNT1089666308","Office","","تجاري","368","Authority","2019-09-01","2020-08-31","Sharaf Dg Metro Station","2","1","1","Mall of the Emirates","محطة مترو شرف دي جي","Unit","422","مول الإمارات","1","35000","New","Office","0","","جديد","مكتب","Burj Al Arab","Al Barsha First","2025-12-11 23:26:31","برج العرب","2","البرشاء الاولى","null","14","جهة","","1"
