procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
"Delayed Sell","null","جولد كريست فيوز","272450","Residential","1","41","60","42.66","بيع مبدئى","2012-03-29","null","Goldcrest Views","سكني","350","3","Damac Properties","1","6386.54","مبايعات","Marina Mall","0","عقارات داماك","2","1","Sales","مارينا مول","1-41-2011-1593","استوديو","null","Unit","Jumeirah Lakes Towers","Burj Al Arab","Studio","Al Thanyah Fifth","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الخامسة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Mortgage Registration","null","null","500000","Residential","1","13","null","1393.64","تسجيل رهن","2013-04-01","null","null","سكني","406","4","null","0","358.77","رهون","null","0","null","1","1","Mortgages","null","2-13-2013-1831","null","null","Villa","null","IMG World Adventures","null","Nad Al Shiba Fourth","فيلا","2","2026-02-26 10:09:51","آي إم جي وورلد أدفينتشرز","ند الشبا الرابعه","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Sell - Pre registration","Luxur Tower By Imtiaz","برج الأقصر من امتياز","1058663","Residential","0","102","60","75.36","بيع - تسجيل مبدئى","2024-09-06","برج لكسورمن امتياز","LUXOR TOWER BY IMTIAZ","سكني","441","3","Nakheel Metro Station","1","14048.09","مبايعات","Marina Mall","0","محطة مترو النخيل","2","1","Sales","مارينا مول","1-102-2024-68692","غرفة","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","1 B/R","Al Barsha South Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","2770","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Mortgage Registration","PALLADIUM","بلاديوم","1400000","Residential","1","13","60","110.28","تسجيل رهن","2012-02-16","البلاديوم","  PALLADIUM","سكني","350","3","Jumeirah Lakes Towers","1","12694.96","رهون","Marina Mall","0","أبراج بحيرات جميرا","1","1","Mortgages","مارينا مول","2-13-2012-508","غرفتين","null","Unit","Jumeirah Lakes Towers","Sports City Swimming Academy","2 B/R","Al Thanyah Fifth","وحدة","2","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الثنيه الخامسة","Existing Properties","Flat","86","null","العقارات القائمة","شقه سكنيه"," ابراج بحيرات الجميرا"
"Sell - Pre registration","ELITE 9 SPORTS RESIDENCE","ايليت 9  سبورت ريزيدنس","760000","Residential","0","102","60","75.96","بيع - تسجيل مبدئى","2016-08-11","إيليت 9 سبورت ريزيدنس","Elite 9 Sports Residence","سكني","435","3","Nakheel Metro Station","1","10005.27","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-102-2016-11333","غرفة","null","Unit","Dubai Sports City","Sports City Swimming Academy","1 B/R","Al Hebiah Fourth","وحدة","1","2026-02-26 10:09:51","أكاديمية المدينة الرياضية للسباحة","الحبيه الرابعة","Off-Plan Properties","Flat","1542","null","على الخارطة","شقه سكنيه","مدينة دبي الرياضية"
"Mortgage Registration","null","null","500000","Residential","1","13","null","1137.13","تسجيل رهن","2010-06-02","null","null","سكني","403","4","Etisalat Metro Station","0","439.7","رهون","City Centre Mirdif","0","محطة مترو اتصالات","1","1","Mortgages","سيتي سنتر مردف","2-13-2010-2818","null","null","Villa","null","null","null","Al Mizhar Third","فيلا","2","2026-02-26 10:09:51","null","المزهر الثالثة","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Sell","null","null","2800000","Commercial","1","11","null","622.37","بيع","2008-03-27","null","null","تجاري","410","1","null","0","4498.93","مبايعات","null","0","null","2","1","Sales","null","1-11-2008-1400","null","null","Land","null","null","null","Palm Jumeirah","أرض","1","2026-02-26 10:09:51","null","نخلة جميرا","Existing Properties","null","null","null","العقارات القائمة","null","null"
"Mortgage Registration","DD STAND POINT","ب د ستاند بوينت ب","1485120","Residential","1","13","60","105.94","تسجيل رهن","2024-02-16","د د ستاند بوينت","BD Standpoint B","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","14018.5","رهون","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Mortgages","مول دبي","2-13-2024-3391","غرفة","null","Unit","DownTown Dubai","Burj Khalifa","1 B/R","Burj Khalifa","وحدة","2","2026-02-26 10:09:51","برج خليفة","برج خليفة","Existing Properties","Flat","1277","null","العقارات القائمة","شقه سكنيه","داون تاون دبي"
"Sell - Pre registration","Parkside","null","1064888","Residential","0","102","4","139.44","بيع - تسجيل مبدئى","2019-07-22","بارك سايد","null","سكني","462","4","null","0","7636.89","مبايعات","null","0","null","1","1","Sales","null","1-102-2019-11215","ثلاث غرف","null","Villa","Dubai World Central","Al Makhtoum International Airport","3 B/R","Madinat Al Mataar","فيلا","1","2026-02-26 10:09:51","مطار آل مكتوم الدولي","مدينة المطار","Off-Plan Properties","Villa","2102","null","على الخارطة","فيلا","دبي ورلد سنترال"
"Sell","null","الالكا1","1520000","Residential","1","11","60","103.6","بيع","2013-02-21","null","AL ALKA 1","سكني","351","3","Dubai Internet City","1","14671.81","مبايعات","Marina Mall","0","مدينة دبي للإنترنت","1","1","Sales","مارينا مول","1-11-2013-5415","غرفتين","null","Unit","The Greens","Burj Al Arab","2 B/R","Al Thanyah Third","وحدة","1","2026-02-26 10:09:51","برج العرب","الثنيه الثالثة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الروضة"
