project_name_en,rooms,is_registered,pre_registration_number,property_sub_type_id,parent_property_id,project_name_ar,area_id,unit_parking_number,zone_id,property_type_id,is_lease_hold,unit_number,parking_allocation_type_en,project_id,land_sub_number,master_project_id,land_type_ar,parking_allocation_type_ar,common_area,floor,munc_number,actual_common_area,rooms_ar,property_type_en,is_free_hold,land_type_en,master_project_en,land_number,rooms_en,area_name_en,property_type_ar,creation_date,parcel_id,load_timestamp,property_id,area_name_ar,actual_area,property_sub_type_en,grandparent_property_id,land_type_id,unit_balcony_area,parking_allocation_type,property_sub_type_ar,master_project_ar,munc_zip_code,building_number
"Lamaa","1","0","null","60","740087536","لـمّـــاع","370","1","2","3","0","806","null","443948947","0","null","تجارى","null","0.17","8","844","54.64","غرفة","Unit","1","Commercial","null","694","1 B/R","Um Suqaim Third","وحدة","2022-09-29 00:00:00","3660844","2026-02-26 16:09:32","485221706","ام سقيم الثالثه","68.92","Flat","1753863673","4","7.87","null","شقه سكنيه","null","366","2"
"null","26","1","null","60","938531676","null","462","P1-43","2","3","0","3D-1201","null","null","0","123","مؤسسات حكومية","null","0.05","12","null","27.58","استوديو","Unit","1","Government Authorities","Dubai World Central","2527","Studio","Madinat Al Mataar","وحدة","2023-08-21 00:00:00","null","2026-02-26 16:09:32","1025149016","مدينة المطار","37.68","Flat","686831284","6","0","null","شقه سكنيه","دبي ورلد سنترال","521","4"
"Binghatti Flare 02","26","0","null","60","1678113637","بن غاطي فلير 02","442","1","2","3","0","814","null","795178819","0","10","تجارى","null","0.09","8","8902","36.26","استوديو","Unit","1","Commercial","Jumeirah Village Triangle","216","Studio","Al Barsha South Fifth","وحدة","2025-09-01 00:00:00","6848902","2026-02-26 16:09:32","909734170","البرشاء جنوب الخامسة","37.73","Flat","549768450","4","8.73","null","شقه سكنيه","قرية جميرا المثلثة","684","1"
"null","2","1","null","60","2022424581","null","343","null","2","3","0","404","null","null","0","23","سكنى","null","1.3877","3","1719","null","غرفتان","Unit","1","Residential","International City Phase 1","95","2 B/R","Al Warsan First","وحدة","2013-01-07 00:00:00","6211719","2026-02-26 16:09:32","2046590390","ورسان الاولى","82.97","Flat","1143836546","1","5.03","null","شقه سكنيه","المدينة العالمية - المرحلة الاولى","621","1"
"ASPIRZ By Danube","0","0","null","42","747296511","أسبايرز من دانوب","435","2","2","3","0","918","null","774553524","0","98","صناعى","null","0.4","9","4303","22","غير معرف","Unit","1","Industrial","Dubai Sports City","125","NA","Al Hebiah Fourth","وحدة","2025-09-22 00:00:00","6824303","2026-02-26 16:09:32","1382150791","الحبيه الرابعة","74.79","Office","441414843","3","0","null","مكتب","مدينة دبي الرياضية","682","1"
"null","2","null","null","null","1001357876868","null","278","null","2","3","null","609","null","null","0","null","تجارى","null","1100","6","218","null","غرفتين و صالة","Unit","0","Commercial","null","440","2 bed rooms+hall","Mankhool","وحدة","2012-01-24 00:00:00","3170218","2026-02-26 16:09:32","1000253082243","منخول","1100","null","1000700757894","4","null","null","null","null","317","0"
"null","422","null","null","null","null","null","235","null","1","3","null","216","null","null","0","null","تجارى","null","null","null","445","null","مكتب","Unit","0","Commercial","null","259","Office","Eyal Nasser","وحدة","2012-09-29 00:00:00","1160445","2026-02-26 16:09:32","1000568900362","عيال ناصر","null","null","1000497208685","4","null","null","null","null","116","null"
"null","11","null","null","null","null","null","362","null","1","3","null","FLAT 310","null","null","0","null","تجارى","null","0","0","582","null","أستوديو","Unit","0","Commercial","null","434","Studio","Naif","وحدة","2015-11-25 00:00:00","1180582","2026-02-26 16:09:32","1000747392927","نايف","50","null","1001734917609","4","null","null","null","null","118","null"
"EMPIRE GARDENS","1","0","null","60","1238768166","إمباير جاردنز","467","1","2","3","0","815","null","849338780","0","215","تجارى","null","0.55","8","9020","60.32","غرفة","Unit","1","Commercial","Dubai Land Residence Complex","1681","1 B/R","Wadi Al Safa 5","وحدة","2026-01-13 00:00:00","6489020","2026-02-26 16:09:32","1415652251","وادي الصفا 5","83.83","Flat","1565069195","4","21.54","null","شقه سكنيه","مجمع دبي لاند السكني","648","1"
"null","1","null","null","null","1001659604518","null","305","null","1","3","null","FLAT-236","null","null","0","null","تجارى","null","0","-","336","null","غرفة و صالة","Unit","0","Commercial","null","23","1bed room+Hall","AL QUSAIS","وحدة","2011-08-16 00:00:00","2320336","2026-02-26 16:09:32","1000280947399","القصيص","0","null","1000801146046","4","null","null","null","null","232","23"
